Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
AIDS and behavior.,AIDS Behav,1090-7165,1573-3254,United States,Acquired Immunodeficiency Syndrome; Behavioral Sciences,1997,9712133
Addictive behaviors.,Addict Behav,0306-4603,1873-6327,England,Behavioral Sciences; Substance-Related Disorders,1975,7603486
Advances in child development and behavior.,Adv Child Dev Behav,0065-2407,,United States,Behavioral Sciences; Pediatrics,1963,0370417
Advances in life course research.,Adv Life Course Res,1569-4909,1879-6974,Netherlands,Behavioral Sciences; Social Sciences,2000,100960029
Aggressive behavior.,Aggress Behav,0096-140X,1098-2337,United States,Behavioral Sciences,1974,7502265
Annals of behavioral medicine : a publication of the Society of Behavioral Medicine.,Ann Behav Med,0883-6612,1532-4796,England,Behavioral Sciences,1985,8510246
"Anxiety, stress, and coping.",Anxiety Stress Coping,1061-5806,1477-2205,England,Behavioral Sciences; Psychology,1992,9212242
Appetite.,Appetite,0195-6663,1095-8304,England,Behavioral Sciences; Nutritional Sciences,1980,8006808
Applied psychology. Health and well-being.,Appl Psychol Health Well Being,1758-0846,1758-0854,England,Behavioral Sciences; Psychology,2009,101502957
Applied psychophysiology and biofeedback.,Appl Psychophysiol Biofeedback,1090-0586,1573-3270,Germany,Behavioral Sciences; Psychophysiology,1997,9712383
Archives of sexual behavior.,Arch Sex Behav,0004-0002,1573-2800,United States,Behavioral Sciences; Psychiatry,1971,1273516
Archives of suicide research : official journal of the International Academy for Suicide Research.,Arch Suicide Res,1381-1118,1543-6136,England,Behavioral Sciences,1995,9504451
Attachment & human development.,Attach Hum Dev,1461-6734,1469-2988,England,Behavioral Sciences; Social Sciences,1999,100901315
Behavior genetics.,Behav Genet,0001-8244,1573-3297,United States,Behavioral Sciences; Genetics,1970,0251711
Behavior modification.,Behav Modif,0145-4455,1552-4167,United States,Behavioral Sciences; Psychiatry,1977,7803043
Behavior research methods.,Behav Res Methods,1554-351X,1554-3528,United States,Behavioral Sciences,2005,101244316
Behavior therapy.,Behav Ther,0005-7894,1878-1888,England,Behavioral Sciences; Therapeutics,1970,1251640
Behavioral and brain functions : BBF.,Behav Brain Funct,,1744-9081,England,Behavioral Sciences; Brain,2005,101245751
Behavioral medicine.,Behav Med,0896-4289,1940-4026,United States,Behavioral Sciences; Psychiatry,1988,8804264
Behavioral neuroscience.,Behav Neurosci,0735-7044,1939-0084,United States,Behavioral Sciences; Neurology,1983,8302411
Behavioral sciences & the law.,Behav Sci Law,0735-3936,1099-0798,United States,Behavioral Sciences; Jurisprudence,1983,8404861
Behavioral sleep medicine.,Behav Sleep Med,1540-2002,1540-2010,England,Behavioral Sciences; Psychophysiology,2003,101149327
Behaviour research and therapy.,Behav Res Ther,0005-7967,1873-622X,England,Behavioral Sciences; Therapeutics,1963,0372477
Behavioural and cognitive psychotherapy.,Behav Cogn Psychother,1352-4658,1469-1833,United States,Behavioral Sciences; Psychiatry,1993,9418292
Behavioural brain research.,Behav Brain Res,0166-4328,1872-7549,Netherlands,Behavioral Sciences; Brain,1980,8004872
Behavioural neurology.,Behav Neurol,0953-4180,1875-8584,Netherlands,Behavioral Sciences; Neurology,1988,8914585
Behavioural pharmacology.,Behav Pharmacol,0955-8810,1473-5849,England,Behavioral Sciences; Pharmacology,1989,9013016
Behavioural processes.,Behav Processes,0376-6357,1872-8308,Netherlands,Behavioral Sciences,1976,7703854
Brain and behavior.,Brain Behav,,2162-3279,United States,Behavioral Sciences; Brain,2011,101570837
Brain imaging and behavior.,Brain Imaging Behav,1931-7557,1931-7565,United States,Behavioral Sciences; Brain; Diagnostic Imaging,2007,101300405
"Brain, behavior and evolution.",Brain Behav Evol,0006-8977,1421-9743,Switzerland,Behavioral Sciences; Biology; Brain,1968,0151620
Cognitive behaviour therapy.,Cogn Behav Ther,1650-6073,1651-2316,England,Behavioral Sciences; Therapeutics,2002,101143317
"Cognitive, affective & behavioral neuroscience.",Cogn Affect Behav Neurosci,1530-7026,1531-135X,United States,Behavioral Sciences; Neurology,2001,101083946
Cortex; a journal devoted to the study of the nervous system and behavior.,Cortex,0010-9452,1973-8102,Italy,Behavioral Sciences; Brain; Neurology,1964,0100725
Criminal behaviour and mental health : CBMH.,Crim Behav Ment Health,0957-9664,1471-2857,England,Behavioral Sciences; Psychology,1991,9309668
Crisis.,Crisis,0227-5910,2151-2396,Canada,Behavioral Sciences,1980,8218602
"Culture, health & sexuality.",Cult Health Sex,1369-1058,1464-5351,England,Behavioral Sciences; Social Sciences,1999,100883416
Current topics in behavioral neurosciences.,Curr Top Behav Neurosci,1866-3370,1866-3389,Germany,Behavioral Sciences; Neurology,2009,101535383
"Cyberpsychology, behavior and social networking.",Cyberpsychol Behav Soc Netw,2152-2715,2152-2723,United States,Behavioral Sciences; Psychology,2010,101528721
Eating behaviors.,Eat Behav,1471-0153,1873-7358,United States,Behavioral Sciences; Nutritional Sciences,2000,101090048
Epilepsy & behavior : E&B.,Epilepsy Behav,1525-5050,1525-5069,United States,Behavioral Sciences; Neurology,2000,100892858
Evolutionary psychology : an international journal of evolutionary approaches to psychology and behavior.,Evol Psychol,,1474-7049,England,Behavioral Sciences; Biology; Psychology,2003,101219668
"Genes, brain, and behavior.",Genes Brain Behav,1601-1848,1601-183X,England,Behavioral Sciences; Brain; Genetics,2002,101129617
Health education & behavior : the official publication of the Society for Public Health Education.,Health Educ Behav,1090-1981,1552-6127,United States,Behavioral Sciences; Education; Public Health,1997,9704962
Health psychology review.,Health Psychol Rev,1743-7199,1743-7202,England,Behavioral Sciences; Psychology,2007,101299723
Hormones and behavior.,Horm Behav,0018-506X,1095-6867,United States,Behavioral Sciences; Endocrinology,1969,0217764
